"","name","plot_name","description"
"1","player's uniform_number","uniform_number","the number on the back of the uniform the player waers"
"2","player","player","the first and last name of the player"
"3","player's position","position","the position the player plays for in abbreviation form"
"4","player's height","height","the height of player, in inch and feet unit"
"5","player's weight","weight","the weight of the player in lbs unit"
"6","player's date_of_birth","date_of_birth","the date of birth of the player"
"7","player's country","country","the nationality of the plaer in abbreviation"
"8","player's year_of_experience","year_of_experience","the number of years in NBA"
"9","player's college","college","the college the player graduates from"
"10","player's team","team","the team player belongs to"
"11","player's salary_rank","salary_rank","the ranking of salary in his team"
"12","player's salary","salary","the total salary for the whole "
"13","player's total_rank","total_rank","the ranking of player in his team"
"14","player's age","age","age of the player"
"15","player's games_played","games_played","number of games played"
"16","player's games_started","games_started","number of time player on field when game starts"
"17","player's minutes_played","minutes_played","total number of minutes played"
"18","player's field_goal","field_goal","scored on any shot or tap other than a free throw"
"19","player's field_goal_attempts","field_goal_attempts","attempted scored on any shot or tap other than a free throw"
"20","player's field_goal_percent","field_goal_percent","score percent on any shot or tap other than a free throw"
"21","player's three_point_total","three_point_total","3 points scored"
"22","player's three_point_attempt","three_point_attempt","3 points attemptd"
"23","player's three_point_percent","three_point_percent","3 points hit rate"
"24","player's two_point_total","two_point_total","2 points scored"
"25","player's two_point_attempt","two_point_attempt","2 points attemptd"
"26","player's two_point_percent","two_point_percent","2 points hit rate"
"27","player's effective_goal_percent","effective_goal_percent","effective goal percent of that player"
"28","player's free_throw","free_throw","score points from a restricted area on the court"
"29","player's free_throw_attempts","free_throw_attempts","score points attempted from a restricted area on the court"
"30","player's free_throw_percent","free_throw_percent","percent of score points attempted from a restricted area on the court"
"31","player's offensive_rebounds","offensive_rebounds","a statistic awarded to a player who retrieves the ball after a missed field goal or free throw"
"32","player's defensive_rebounds","defensive_rebounds","a statistic awarded to a player who retrieves the ball after a defense round"
"33","player's total_rebounds","total_rebounds","the summation of offensive rebounds and defensive rebounds"
"34","player's assists","assists","number of time player assists an successful offsense"
"35","player's steals","steals","number of time player steals balls from opponents"
"36","player's blocks","blocks","number of time player blocks opponents"
"37","player's turnovers","turnovers","the ranking of player in his team"
"38","player's personal_fouls","personal_fouls","number of fouls"
"39","player's points","points","total points obtained"
