                             Mean       Max  Min    Range Standard Deviation    Median
uniform_number              17.92 9.900e+01    0       99              16.08 1.300e+01
height                      79.11 8.700e+01   69       87               3.46 7.900e+01
weight                     221.32 3.070e+02  161      307              26.46 2.200e+02
year_of_experience           4.87 2.000e+01    0       20               4.32 4.000e+00
salary_rank                  9.18 2.300e+01    1       23               5.22 9.000e+00
salary                 4615094.62 2.500e+07 8819 25000000         5158644.24 2.500e+06
total_rank                   8.90 2.700e+01    1       27               5.25 9.000e+00
age                         26.61 3.900e+01   19       39               4.39 2.600e+01
games_played                52.37 8.200e+01    1       82              25.58 6.000e+01
games_started               25.14 8.200e+01    0       82              29.32 9.000e+00
minutes_played            1209.10 3.125e+03    3     3125             857.48 1.170e+03
field_goal                 192.45 8.050e+02    0      805             167.58 1.510e+02
field_goal_attempts        424.38 1.617e+03    0     1617             363.81 3.340e+02
field_goal_percent           0.45 1.000e+00    0       NA               0.10 4.400e-01
three_point_total           42.55 4.020e+02    0      402              53.65 2.000e+01
three_point_attempt        119.96 8.860e+02    0      886             141.27 6.900e+01
three_point_percent          0.30 1.000e+00    0       NA               0.15 3.300e-01
two_point_total            149.90 6.500e+02    0      650             138.89 1.140e+02
two_point_attempt          304.42 1.238e+03    0     1238             276.61 2.330e+02
two_point_percent            0.48 1.000e+00    0       NA               0.10 4.800e-01
effective_goal_percent       0.50 1.500e+00    0       NA               0.10 5.000e-01
free_throw                  89.22 7.200e+02    0      720             100.92 5.300e+01
free_throw_attempts        117.93 8.370e+02    0      837             128.07 6.900e+01
free_throw_percent           0.74 1.000e+00    0       NA               0.13 7.600e-01
offensive_rebounds          52.54 3.950e+02    0      395              59.33 3.100e+01
defensive_rebounds         167.89 8.030e+02    0      803             146.82 1.310e+02
total_rebounds             220.43 1.198e+03    0     1198             199.01 1.690e+02
assists                    111.49 8.390e+02    0      839             131.31 7.000e+01
steals                      39.39 1.690e+02    0      169              35.35 3.000e+01
blocks                      25.17 2.690e+02    0      269              32.31 1.400e+01
turnovers                   69.05 3.740e+02    0      374              62.64 5.400e+01
personal_fouls             101.25 2.580e+02    0      258              67.88 1.010e+02
points                     516.66 2.376e+03    0     2376             462.14 4.110e+02
birthday_year             1988.45 1.996e+03 1976     1996               4.38 1.989e+03
