"","player_name","total_points","total_rebounds","assists","steals","blocks","missed_field_goals","missed_free_throws","turnovers","games_played","Efficiency_index","salary","position"
"1","Channing Frye",196,93,26,8,8,-90,-3,13,26,1.50127830317437,7807579,"C"
"2","Sasha Kaun",23,26,3,4,5,-8,-6,7,25,0.532380421185801,1300000,"C"
"3","Timofey Mozgov",475,337,33,22,57,-156,-27,71,76,1.93196869366839,4950000,"C"
"4","Bismack Biyombo",454,655,29,19,133,-132,-84,71,82,2.46876409189182,3e+06,"C"
"5","Lucas Nogueira",65,46,7,12,12,-16,-7,11,29,1.13030547248836,1842000,"C"
"6","Jason Thompson",87,80,10,8,12,-34,-4,8,19,1.67312060438497,328955,"C"
"7","Jonas Valanciunas",768,547,42,25,80,-233,-51,85,60,3.33358855187224,4660482,"C"
"8","Amar'e Stoudemire",300,222,27,18,41,-96,-17,47,52,2.00919434652608,1499187,"C"
"9","Hassan Whiteside",1040,865,30,44,269,-269,-115,137,73,5.10144611717768,981348,"C"
"10","Al Horford",1249,596,263,68,121,-519,-26,107,82,4.35951616354605,1.2e+07,"C"
"11","Mike Muscala",195,117,34,13,27,-76,-8,27,60,1.13964195193688,947276,"C"
"12","Tiago Splitter",201,120,30,20,12,-74,-9,24,36,1.82518415847211,8500000,"C"
"13","Walter Tavares",25,21,3,1,6,-8,-5,5,11,0.859047759204566,1e+06,"C"
"14","Kelly Olynyk",687,281,105,52,33,-303,-32,74,69,2.53048304297208,2165160,"C"
"15","Tyler Zeller",364,178,29,10,22,-152,-20,46,60,1.2588818933766,2616975,"C"
"16","Al Jefferson",562,301,70,30,41,-260,-39,34,47,2.50791170594672,13833333,"C"
"17","Frank Kaminsky",606,335,98,38,43,-310,-40,58,81,1.84691900140508,2612500,"C"
"18","Cody Zeller",638,455,71,57,63,-206,-57,68,73,2.81324721579527,4204200,"C"
"19","Jordan Hill",645,451,87,36,37,-271,-36,92,73,2.55720345407425,4e+06,"C"
"20","Ian Mahinmi",660,507,104,65,75,-184,-93,100,71,3.51679263441432,4e+06,"C"
"21","Myles Turner",619,332,41,25,86,-266,-33,67,60,2.56454648566088,2357760,"C"
"22","Joel Anthony",18,21,1,2,12,-4,-2,2,19,0.641117553240798,2500000,"C"
"23","Aron Baynes",514,384,51,21,52,-190,-39,67,81,1.80237972898836,6500000,"C"
"24","Andre Drummond",1314,1198,67,119,112,-508,-378,155,81,3.98762208858989,3272091,"C"
"25","Cameron Bairstow",34,28,6,2,3,-27,-1,4,18,0.502005423416386,845059,"C"
"26","Cristiano Felicio",105,102,26,6,13,-32,-10,13,31,1.3320185841124,525090,"C"
"27","Pau Gasol",1187,793,294,42,146,-528,-60,164,72,5.47555852682751,7448760,"C"
"28","Joakim Noah",124,255,110,18,29,-82,-23,52,29,4.18615139862742,13400000,"C"
"29","Marcin Gortat",1012,741,106,47,96,-331,-61,121,75,3.9582698522667,11217391,"C"
"30","J.J. Hickson",69,45,7,5,2,-21,-25,9,15,0.83217236326394,366337,"C"
