"","Team","Mininum","First_Quatile","Median","Mean","Third_Quatile","Maximum","Total_Pay_Roll","Interquatile","Standard_Deviation"
"1","ATL","388025","1152260","2870000","4758541.73333333","6873239.5","1.9e+07","71378126","5720979","5217410"
"2","BOS","61776","1805730","3021242.5","4564340.4375","6228217.25","15493680","73029447","4422487","4231739"
"3","BRK","161622","972794","1349190","3352202.625","2056257.5","2e+07","53635242","1083463","5245969"
"4","CHI","525090","1203290.5","2380440","5692393.2","7974380","20093063","85385898","6771089","6127832"
"5","CHO","301444","1642892","4204200","5168657.66666667","6665702","13833333","77529865","5022810","4449416"
"6","CLE","8819","1399500","4950000","7064168","11630435","22971000","105962520","10230935","7481394"
"7","DAL","525093","1315473","3975156.5","4963432.28571429","5425000","16400000","69488052","4109527","5136343"
"8","DEN","123552","1521260.25","2328000","3599819.07142857","3275559.75","1.4e+07","50397467","1754299","4034848"
"9","DET","99418","1711452.5","2891760","4477885.73333333","5635000","1.6e+07","67168286","3923547","4686346"
"10","GSW","458575","1201462","3815000","5818396.46666667","11540621","15500000","87275947","10339159","5494525"
"11","HOU","83583","1182040","1967302.5","4787369.8125","6923257.5","22359364","76597917","5741217","6274579"
"12","IND","265058","1179440","4e+06","4645739.2","5750000","17120106","69686088","4570560","4484878"
"13","LAC","61776","1070787","2185482","5914732.125","7450250","21468696","94635714","6379463","7442264"
"14","LAL","525093","913203.5","1724250","4815341.66666667","5161144.5","2.5e+07","72230125","4247941","6804634"
"15","MEM","55722","837914.75","2473550","4113548.95","5251404.25","19700000","82270979","4413489","4879051"
"16","MIA","12355","913203.5","2170465","5720581","7847668.5","22192730","85808715","6934465","7459939"
"17","MIL","57726","1460520","2254167","4320501.625","5514330","16400000","69128026","4053810","4956302"
"18","MIN","247623","1480626.75","2102640","4301730.71428571","5744910","12365000","60224230","4264283","4059477"
"19","NOP","44000","1100000","3e+06","4699064.47058824","8500000","15514031","79884096","7400000","4939489"
"20","NYK","59731","1228374.25","2225000","4683985.9375","5525703","22875000","74943775","4297328","5967773"
"21","OKC","352750","1742280","3344000","6308177.33333333","8744215","20158622","94622660","7001935","6616957"
"22","ORL","161776","1791322.5","3741480","4021549.93333333","5096260","11250000","60323249","3304937","3143689"
"23","PHI","172739","856467.5","1025000","1842421.22222222","2644838.5","6500000","33163582","1788371","1667303"
"24","PHO","111444","1008000","2041080","4159034.8","5500000","13086957","62385522","4492000","4738316"
"25","POR","525093","921721.75","2746330","3031698.75","4427215.25","7500000","48507180","3505493","2322363"
"26","SAC","525093","998384.5","3156600","4723140.06666667","6916666.5","14728844","70847101","5918282","4508271"
"27","SAS","317475","1142879","1499187","5109258.11764706","7e+06","19500000","86857388","5857121","6097830"
"28","TOR","328955","1520340","3e+06","4486541.5625","6451506.25","13500000","71784665","4931166","4088631"
"29","UTA","99418","981348","2239800","3525522.82352941","3e+06","15409570","59933888","2018652","4433752"
"30","WAS","176375","1100602","3300000","4624930.41176471","5694674","15851950","78623817","4594072","4744555"
